2025-07-17 15:28:29,434 INFO    MainThread:12287 [wandb_setup.py:_flush():80] Current SDK version is 0.21.0
2025-07-17 15:28:29,435 INFO    MainThread:12287 [wandb_setup.py:_flush():80] Configure stats pid to 12287
2025-07-17 15:28:29,435 INFO    MainThread:12287 [wandb_setup.py:_flush():80] Loading settings from /Users/admin/.config/wandb/settings
2025-07-17 15:28:29,435 INFO    MainThread:12287 [wandb_setup.py:_flush():80] Loading settings from /Users/admin/Documents/ml_learning/week_6/preference_optimisation/src/wandb/settings
2025-07-17 15:28:29,435 INFO    MainThread:12287 [wandb_setup.py:_flush():80] Loading settings from environment variables
2025-07-17 15:28:29,435 INFO    MainThread:12287 [wandb_init.py:setup_run_log_directory():703] Logging user logs to /Users/admin/Documents/ml_learning/week_6/preference_optimisation/src/wandb/run-20250717_152829-ihlbk27l/logs/debug.log
2025-07-17 15:28:29,435 INFO    MainThread:12287 [wandb_init.py:setup_run_log_directory():704] Logging internal logs to /Users/admin/Documents/ml_learning/week_6/preference_optimisation/src/wandb/run-20250717_152829-ihlbk27l/logs/debug-internal.log
2025-07-17 15:28:29,435 INFO    MainThread:12287 [wandb_init.py:init():830] calling init triggers
2025-07-17 15:28:29,435 INFO    MainThread:12287 [wandb_init.py:init():835] wandb.init called with sweep_config: {}
config: {'model_name': 'Qwen/Qwen2-0.5B-Instruct', 'lora_rank': 8, 'lora_alpha': 16, 'lora_dropout': 0.1, 'learning_rate': 0.0002, 'batch_size': 2, 'num_epochs': 3, 'warmup_steps': 100, 'weight_decay': 0.01, 'max_length': 256, 'max_new_tokens': 64, 'gradient_accumulation_steps': 8, 'logging_steps': 10, 'eval_steps': 100, 'save_steps': 500, '_wandb': {}}
2025-07-17 15:28:29,436 INFO    MainThread:12287 [wandb_init.py:init():871] starting backend
2025-07-17 15:28:30,080 INFO    MainThread:12287 [wandb_init.py:init():874] sending inform_init request
2025-07-17 15:28:30,134 INFO    MainThread:12287 [wandb_init.py:init():882] backend started and connected
2025-07-17 15:28:30,138 INFO    MainThread:12287 [wandb_init.py:init():953] updated telemetry
2025-07-17 15:28:30,157 INFO    MainThread:12287 [wandb_init.py:init():977] communicating run to backend with 90.0 second timeout
2025-07-17 15:28:30,769 INFO    MainThread:12287 [wandb_init.py:init():1029] starting run threads in backend
2025-07-17 15:28:30,871 INFO    MainThread:12287 [wandb_run.py:_console_start():2458] atexit reg
2025-07-17 15:28:30,871 INFO    MainThread:12287 [wandb_run.py:_redirect():2306] redirect: wrap_raw
2025-07-17 15:28:30,871 INFO    MainThread:12287 [wandb_run.py:_redirect():2375] Wrapping output streams.
2025-07-17 15:28:30,871 INFO    MainThread:12287 [wandb_run.py:_redirect():2398] Redirects installed.
2025-07-17 15:28:30,873 INFO    MainThread:12287 [wandb_init.py:init():1075] run started, returning control to user process
2025-07-17 15:28:31,305 INFO    MainThread:12287 [wandb_run.py:_finish():2224] finishing run attp-ml-institute/QwenLoRA-Summarization/ihlbk27l
2025-07-17 15:28:31,305 INFO    MainThread:12287 [wandb_run.py:_atexit_cleanup():2423] got exitcode: 0
2025-07-17 15:28:31,305 INFO    MainThread:12287 [wandb_run.py:_restore():2405] restore
2025-07-17 15:28:31,305 INFO    MainThread:12287 [wandb_run.py:_restore():2411] restore done
2025-07-17 15:28:32,142 INFO    MainThread:12287 [wandb_run.py:_footer_history_summary_info():3903] rendering history
2025-07-17 15:28:32,142 INFO    MainThread:12287 [wandb_run.py:_footer_history_summary_info():3935] rendering summary
2025-07-17 15:28:32,143 INFO    MainThread:12287 [wandb_run.py:_footer_sync_info():3864] logging synced files
